length_bin	length_bp	tool	metric	point	ci_lo	ci_hi	se
L5000_fragments	5000	geNomad	F1	0.7351	0.6761	0.789	0.0278
L5000_fragments	5000	geNomad	precision	0.6099	0.541	0.678	0.0355
L5000_fragments	5000	geNomad	recall	0.925	0.8772	0.9655	0.0229
L10000_fragments	10000	DeepVirFinder	MCC	0.1005	0.0326	0.1705	0.0358
L10000_fragments	10000	DeepVirFinder	AUPRC	0.1632	0.0893	0.2743	0.0472
L10000_fragments	10000	DeepVirFinder	F1	0.1584	0.1049	0.2148	0.0276
L10000_fragments	10000	DeepVirFinder	precision	0.0972	0.0628	0.1355	0.0183
L10000_fragments	10000	DeepVirFinder	recall	0.4286	0.3077	0.56	0.0647
L10000_fragments	10000	HVSeeker	MCC	-0.0455	-0.1056	0.018	0.0319
L10000_fragments	10000	HVSeeker	AUPRC	0.1258	0.0672	0.2262	0.0417
L10000_fragments	10000	HVSeeker	F1	0.0871	0.0573	0.1193	0.0155
L10000_fragments	10000	HVSeeker	precision	0.0479	0.0308	0.0668	0.0089
L10000_fragments	10000	HVSeeker	recall	0.4821	0.3585	0.6167	0.0662
L10000_fragments	10000	Jaeger	MCC	0.2762	0.1778	0.3737	0.0495
L10000_fragments	10000	Jaeger	AUPRC	0.4253	0.3056	0.5507	0.0657
L10000_fragments	10000	Jaeger	F1	0.3165	0.2237	0.4094	0.0465
L10000_fragments	10000	Jaeger	precision	0.2451	0.1667	0.33	0.0417
L10000_fragments	10000	Jaeger	recall	0.4464	0.3269	0.5758	0.0646
L10000_fragments	10000	MetaPhinder	MCC	0.0667	0.0016	0.1392	0.0353
L10000_fragments	10000	MetaPhinder	AUPRC	0.0667	0.0481	0.0908	0.0109
L10000_fragments	10000	MetaPhinder	F1	0.1367	0.0854	0.1892	0.0274
L10000_fragments	10000	MetaPhinder	precision	0.0856	0.0526	0.1223	0.0183
L10000_fragments	10000	MetaPhinder	recall	0.3393	0.2222	0.4635	0.0626
L10000_fragments	10000	PPR-Meta	MCC	0.2112	0.1145	0.3118	0.0503
L10000_fragments	10000	PPR-Meta	AUPRC	0.3	0.179	0.4393	0.069
L10000_fragments	10000	PPR-Meta	F1	0.2597	0.1677	0.3514	0.047
L10000_fragments	10000	PPR-Meta	precision	0.2041	0.1266	0.2873	0.0415
L10000_fragments	10000	PPR-Meta	recall	0.3571	0.2381	0.4833	0.0643
L10000_fragments	10000	Seeker	MCC	-0.1208	-0.1805	-0.0566	0.0322
L10000_fragments	10000	Seeker	AUPRC	0.0857	0.0438	0.1547	0.029
L10000_fragments	10000	Seeker	F1	0.0621	0.0376	0.0895	0.013
L10000_fragments	10000	Seeker	precision	0.034	0.0203	0.0495	0.0073
L10000_fragments	10000	Seeker	recall	0.3571	0.2453	0.4902	0.0638
L10000_fragments	10000	Sourmash	MCC	0.0	0.0	0.0	0.0
L10000_fragments	10000	Sourmash	AUPRC	0.158	0.0882	0.2354	0.0397
L10000_fragments	10000	Sourmash	F1	0.0	0.0	0.0	0.0
L10000_fragments	10000	Sourmash	precision	0.0	0.0	0.0	0.0
L10000_fragments	10000	Sourmash	recall	0.0	0.0	0.0	0.0
L10000_fragments	10000	TransGINmer	MCC	0.4858	0.3987	0.5656	0.0425
L10000_fragments	10000	TransGINmer	AUPRC	0.7185	0.6022	0.8307	0.0582
L10000_fragments	10000	TransGINmer	F1	0.4747	0.383	0.5596	0.0446
L10000_fragments	10000	TransGINmer	precision	0.331	0.2541	0.4097	0.0396
L10000_fragments	10000	TransGINmer	recall	0.8393	0.7333	0.9333	0.0516
L10000_fragments	10000	VIBRANT	MCC	0.5384	0.4129	0.657	0.0632
L10000_fragments	10000	VIBRANT	AUPRC	0.3433	0.2202	0.4735	0.065
L10000_fragments	10000	VIBRANT	F1	0.5238	0.3902	0.6437	0.066
L10000_fragments	10000	VIBRANT	precision	0.7857	0.619	0.9232	0.0787
L10000_fragments	10000	VIBRANT	recall	0.3929	0.2708	0.52	0.0646
L10000_fragments	10000	VirFinder	MCC	0.1897	0.0879	0.2912	0.0523
L10000_fragments	10000	VirFinder	AUPRC	0.1985	0.1065	0.3144	0.0523
L10000_fragments	10000	VirFinder	F1	0.2406	0.1429	0.3334	0.0495
L10000_fragments	10000	VirFinder	precision	0.2078	0.1205	0.3	0.0468
L10000_fragments	10000	VirFinder	recall	0.2857	0.1719	0.4107	0.0608
L10000_fragments	10000	VirSorter	MCC	0.4661	0.3357	0.5936	0.0644
L10000_fragments	10000	VirSorter	AUPRC	0.3342	0.2151	0.4762	0.0657
L10000_fragments	10000	VirSorter	F1	0.4783	0.3447	0.6001	0.0634
L10000_fragments	10000	VirSorter	precision	0.6111	0.4516	0.7692	0.0817
L10000_fragments	10000	VirSorter	recall	0.3929	0.2698	0.535	0.0652
L10000_fragments	10000	VirSorter2	MCC	0.7357	0.6422	0.8182	0.0451
L10000_fragments	10000	VirSorter2	AUPRC	0.6098	0.477	0.7535	0.0729
L10000_fragments	10000	VirSorter2	F1	0.75	0.6596	0.8288	0.0434
L10000_fragments	10000	VirSorter2	precision	0.7031	0.5938	0.8065	0.0555
L10000_fragments	10000	VirSorter2	recall	0.8036	0.7018	0.9048	0.0539
L10000_fragments	10000	ViraLM	MCC	0.7199	0.6514	0.7909	0.0351
L10000_fragments	10000	ViraLM	AUPRC	0.9455	0.8969	0.9831	0.0219
L10000_fragments	10000	ViraLM	F1	0.7097	0.6269	0.7883	0.0406
L10000_fragments	10000	ViraLM	precision	0.5556	0.4597	0.6569	0.0488
L10000_fragments	10000	ViraLM	recall	0.9821	0.9423	1.0	0.0173
L10000_fragments	10000	geNomad	MCC	0.752	0.6737	0.8248	0.0375
L10000_fragments	10000	geNomad	AUPRC	0.8286	0.7231	0.929	0.0544
L10000_fragments	10000	geNomad	F1	0.7518	0.6667	0.8284	0.0404
L10000_fragments	10000	geNomad	precision	0.6235	0.5226	0.7326	0.0521
L10000_fragments	10000	geNomad	recall	0.9464	0.8814	1.0	0.0293
